seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.1,33,0.012660487410032855,0.008226420963390628,0.009348517394990302,0.018060847421428897
20,0.1,34,0.013034623361429123,0.009123225702513855,0.009891169398722564,0.018600746759153224
20,0.1,35,0.012821392525508703,0.009590955044408538,0.009732281912482628,0.01906270169770194
20,0.1,36,0.01295699565895563,0.00977724735771483,0.009181081799902227,0.01909006308841265
20,0.1,37,0.013065464657844498,0.009838117310720781,0.008019274134684885,0.018067370942273807
20,0.1,38,0.013323984330416046,0.010161973730088017,0.0077727905449578374,0.01790462507570233
20,0.1,39,0.0130613772510274,0.010285378422007831,0.007624576338795765,0.018214083429905478
20,0.1,40,0.04327611725190961,0.0,0.015284303507075277,0.04969785309496541
20,0.1,41,0.04270357550127903,0.03353089204277227,0.01675784468064538,0.050115237789731336
20,0.1,42,0.04148191551655289,0.03286577773361812,0.019831343606648788,0.05060874133860784
20,0.1,43,0.039597342870186396,0.030726665621230206,0.02442820408797914,0.051462062259750495
20,0.1,44,0.038538612873436164,0.029761675812893046,0.02243682740845626,0.05069838243042204
20,0.1,45,0.03774222319829443,0.029912813368924943,0.02487308938351529,0.050663388767150354
20,0.1,46,0.03821071322094984,0.030201604643390747,0.020799819428973694,0.049304451711272936
20,0.1,47,0.03929179297508157,0.03237257570177605,0.02138681942233202,0.05026143611581995
20,0.1,48,0.03963407803482573,0.033438011087733234,0.017999412010046748,0.05024795146000669
20,0.1,49,0.039067734026644624,0.033612213487945394,0.017648161130521298,0.04914555536861474
20,0.1,50,0.05007947262156302,0.0,0.05646298051024723,0.08328505480616022
20,0.1,51,0.0497036741216064,0.03363004342985923,0.0544221898362751,0.08445661049053632
20,0.1,52,0.050239702288966924,0.03527540597986288,0.04895811472068153,0.08146734224662079
20,0.1,53,0.050323202711947165,0.03665764254870074,0.05401767709274326,0.08733658147668559
20,0.1,54,0.04929653447876378,0.03607377795386742,0.049347628009162335,0.08399279208041228
20,0.1,55,0.048213703045994885,0.036661987227450676,0.04399024902044206,0.07916463161709243
20,0.1,56,0.047572808756627956,0.03617399927839577,0.0450313322765314,0.08004950120025107
20,0.1,57,0.04772300123519572,0.037745497013069645,0.04794484327895919,0.08022130178411176
20,0.1,58,0.04772900062892854,0.038617411172856976,0.04715925433613592,0.08125161295823771
20,0.1,59,0.04860480462040222,0.03969010038075331,0.04177513080128742,0.07848394437779904
20,0.1,60,0.20386968766099478,0.0,0.0677532021619835,0.24360673671319039
20,0.1,61,0.20556354484504447,0.19460609112636243,0.05953111095706326,0.24197591393651424
20,0.1,62,0.20710995063724696,0.19597321106909776,0.049689334394760726,0.23693881433383446
20,0.1,63,0.2070687534277539,0.19808099884489963,0.05275868133891187,0.2372737118039688
20,0.1,64,0.20428876925381484,0.1968677084188913,0.070080220062436,0.24360915152054058
20,0.1,65,0.20749993247146314,0.2004223989370033,0.055124622255277644,0.24099839224659228
20,0.1,66,0.20472533147364583,0.19820146575194736,0.06543239229521727,0.23871554550997345
20,0.1,67,0.207180662475781,0.20119624500814134,0.05503240456756117,0.2356851330865508
20,0.1,68,0.20725807959147238,0.20125628411379082,0.05042451452386301,0.22976896672781055
20,0.1,69,0.20833382364834516,0.2026627722029396,0.044456635654554044,0.2324027304627224
20,0.1,70,0.1017177636993143,0.0,0.021163077209437914,0.10958551458209988
20,0.1,71,0.10168528583004775,0.09554253546159866,0.022402799828597886,0.10946178582104694
20,0.1,72,0.10296668316147953,0.09633091787198307,0.0315813348940303,0.11356594602519365
20,0.1,73,0.1034170209517683,0.09799080734952975,0.03356802628284651,0.11622885779660534
20,0.1,74,0.10295685012817145,0.09790923510094558,0.03506485769294494,0.11628149543139049
20,0.1,75,0.10160127244542184,0.09650537763069683,0.036823835697739865,0.11542826368572387
20,0.1,76,0.10081606758934054,0.0959798422550726,0.036118329900007864,0.11347437480338682
20,0.1,77,0.10148150562083806,0.09747184593050899,0.0369427126621253,0.11512707183806269
20,0.1,78,0.1033347644715816,0.09950835241846456,0.03946672979991858,0.11841929225111705
