mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
FL-IMDR restricted,47,50,0.9799999999999999,0.0054004444261560565,0.0,0.0
FL-IMDR restricted,48,50,0.9814,0.004914299136194298,0.0,0.0
FL-IMDR restricted,49,50,0.9815999999999999,0.005051187583133299,0.0,0.0
FL-IMDR restricted,50,50,0.9824,0.0046368541059645186,0.0,0.0
FL-IMDR restricted,51,50,0.9833999999999999,0.00480459113765157,0.0,0.0
FL-IMDR restricted,52,50,0.9833999999999999,0.004213418564538778,0.0,0.0
FL-IMDR restricted,53,50,0.9825999999999999,0.004611422340233002,0.0,0.0
FL-IMDR restricted,54,50,0.9812000000000001,0.004934359532907994,0.0,0.0
FL-IMDR restricted,55,50,0.9810000000000001,0.003767014733180642,0.0,0.0
FL-IMDR restricted,56,50,0.9803999999999999,0.004113618358574362,0.0,0.0
FL-IMDR restricted,57,50,0.9802,0.004600528665273158,0.0,0.0
FL-IMDR restricted,58,50,0.9805999999999999,0.0046317789239125,0.0,0.0
FL-IMDR restricted,59,50,0.9805999999999999,0.00459780121362375,0.0,0.0
